Date,Price,Open,High,Low,Change,Month,Year,Change1,
Dec-03,107.44,91.92,109.30,81.58,17.61%,12,2003,1.00,
Nov-03,91.35,91.33,95.65,83.68,0.13%,11,2003,1.00,
Oct-03,91.23,82.71,93.38,69.39,9.61%,10,2003,1.00,
Sep-03,83.23,74.69,95.65,73.52,10.75%,9,2003,1.00,
Aug-03,75.15,67.46,79.65,64.44,11.96%,8,2003,1.00,
Jul-03,67.12,61.15,67.87,60.63,10.14%,7,2003,1.00,
Jun-03,60.94,56.08,63.35,54.62,8.82%,6,2003,1.00,
May-03,56.00,51.50,56.64,48.23,8.80%,5,2003,1.00,
Apr-03,51.47,51.76,56.64,49.65,-1.32%,4,2003,0.00,
Mar-03,52.16,55.33,56.49,51.41,-5.64%,3,2003,0.00,
Feb-03,55.28,52.89,56.97,51.87,7.15%,2,2003,1.00,
Jan-03,51.59,56.42,58.14,49.38,-7.68%,1,2003,0.00,
Dec-02,55.88,54.37,57.47,52.93,3.48%,12,2002,1.00,
Nov-02,54.00,49.85,55.48,47.22,8.46%,11,2002,1.00,
Oct-02,49.79,48.03,50.53,40.90,2.87%,10,2002,1.00,
Sep-02,48.40,48.76,50.82,47.26,1.00%,9,2002,0.00,
Aug-02,47.92,46.23,48.76,43.06,4.56%,8,2002,1.00,
Jul-02,45.83,50.65,52.32,44.79,-9.30%,7,2002,0.00,
Jun-02,50.53,50.18,54.65,49.18,2.25%,6,2002,1.00,
May-02,49.42,53.25,55.40,46.62,-5.33%,5,2002,0.00,
Apr-02,52.20,56.57,60.00,51.14,-7.32%,4,2002,0.00,
Mar-02,56.32,57.77,63.77,54.67,-2.46%,3,2002,0.00,
Feb-02,57.74,56.39,61.94,54.46,2.59%,2,2002,1.00,
Jan-02,56.28,57.18,64.52,55.37,-2.00%,1,2002,0.00,
Dec-01,57.43,54.60,60.86,53.64,5.61%,12,2001,1.00,
Nov-01,54.38,48.20,58.33,47.23,13.98%,11,2001,1.00,
Oct-01,47.71,49.51,53.77,45.11,-3.87%,10,2001,0.00,
Sep-01,49.63,58.33,59.64,38.19,-14.96%,9,2001,0.00,
Aug-01,58.36,60.19,64.04,58.06,-2.41%,8,2001,0.00,
Jul-01,59.80,69.54,74.08,56.27,-13.47%,7,2001,0.00,
Jun-01,69.11,73.75,73.94,62.83,-6.08%,6,2001,0.00,
May-01,73.58,64.14,76.32,63.05,14.54%,5,2001,1.00,
Apr-01,64.24,72.49,74.08,54.39,-12.07%,4,2001,0.00,
Mar-01,73.06,78.02,84.59,68.50,-5.92%,3,2001,0.00,
Feb-01,77.66,71.93,80.52,69.90,7.67%,2,2001,1.00,
Jan-01,72.13,63.77,75.96,63.58,13.47%,1,2001,1.00,
Dec-00,63.57,61.33,66.17,60.77,3.30%,12,2000,1.00,
Nov-00,61.54,58.22,62.34,56.48,8.59%,11,2000,1.00,
Oct-00,56.67,63.78,65.36,53.14,-11.78%,10,2000,0.00,
Sep-00,64.24,63.56,73.11,62.64,1.77%,9,2000,1.00,
